,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
844,1504.10.01,1504.10.01
845,1504.10.99,1504.10.99
846,1504.20.02,1504.20.02
847,1504.30.01,1504.30.01
848,1505.00.04,1505.00.04
849,1506.00.01,1506.00.01
850,1506.00.99,1506.00.99
851,1507.10.01,1507.10.01
852,1507.90.99,1507.90.99
853,1508.10.01,1508.10.01
854,1508.90.99,1508.90.99
855,1509.20.01,1509.10.02
856,1509.30.01,1509.10.02
857,1509.40.91,1509.10.02
858,1509.90.99,1509.90.99
859,1510.10.01,1510.00.99
860,1510.90.99,1510.00.99
861,1511.10.01,1511.10.01
862,1511.90.99,1511.90.99
863,1512.11.01,1512.11.01
864,1512.19.99,1512.19.99
865,1512.21.01,1512.21.01
866,1512.29.99,1512.29.99
867,1513.11.01,1513.11.01
868,1513.19.99,1513.19.99
869,1513.21.01,1513.21.01
870,1513.29.99,1513.29.99
871,1514.11.01,1514.11.01
872,1514.19.99,1514.19.99
873,1514.91.01,1514.91.01
874,1514.99.99,1514.99.99
875,1515.11.01,1515.11.01
876,1515.19.99,1515.19.99
877,1515.21.01,1515.21.01
878,1515.29.99,1515.29.99
879,1515.30.01,1515.30.01
880,1515.50.01,1515.50.01
881,1515.60.01,1515.90.99
882,1515.90.99,1515.90.99
883,1516.10.01,1516.10.01
884,1516.20.01,1516.20.01
885,1516.30.01,1516.20.01
886,1517.10.01,1517.10.01
887,1517.90.99,1517.90.99
888,1518.00.01,1518.00.01
889,1518.00.02,1518.00.02
890,1518.00.99,1518.00.99
891,1520.00.01,1520.00.01
892,1521.10.01,1521.10.01
893,1521.10.99,1521.10.99
894,1521.90.04,1521.90.04
895,1521.90.99,1521.90.99
896,1522.00.01,1522.00.01
897,1601.00.03,0410.00.99
898,1601.00.03,1601.00.03
899,1601.00.03,2106.90.99
900,1602.10.02,0410.00.99
901,1602.10.02,1602.10.02
902,1602.10.02,2106.90.99
903,1602.20.02,1602.20.02
904,1602.31.01,1602.31.01
905,1602.32.01,1602.32.01
906,1602.39.99,1602.39.99
907,1602.41.01,1602.41.01
908,1602.42.01,1602.42.01
909,1602.49.91,1602.49.99
910,1602.50.02,1602.50.02
911,1602.90.91,0410.00.99
912,1602.90.91,1602.90.99
913,1602.90.91,1704.90.99
914,1602.90.91,1806.90.99
915,1602.90.91,1901.90.99
916,1602.90.91,1904.90.99
917,1602.90.91,2106.90.99
918,1603.00.01,1603.00.01
919,1603.00.99,1603.00.99
920,1604.11.01,1604.11.01
921,1604.12.01,1604.12.01
922,1604.13.02,1604.13.02
923,1604.14.04,1604.14.04
924,1604.14.99,1604.14.99
925,1604.15.01,1604.15.01
926,1604.16.02,1604.16.02
927,1604.17.01,1604.17.01
928,1604.18.01,1604.18.01
929,1604.19.99,1604.19.99
930,1604.20.91,1604.20.03
931,1604.31.01,1604.31.01
932,1604.32.01,1604.32.01
933,1605.10.02,1605.10.02
934,1605.21.01,1605.21.01
935,1605.29.99,1605.29.99
936,1605.30.01,1605.30.01
937,1605.40.91,1605.40.01
938,1605.51.01,1605.51.01
939,1605.52.01,1605.52.01
940,1605.53.01,1605.53.01
941,1605.54.01,1605.54.01
942,1605.55.01,1605.55.01
943,1605.56.01,1605.56.01
944,1605.57.01,1605.57.01
945,1605.58.01,1605.58.01
946,1605.59.99,1605.59.99
947,1605.61.01,1605.61.01
948,1605.62.01,1605.62.01
949,1605.63.01,1605.63.01
950,1605.69.99,1605.69.99
951,1701.12.05,1701.12.05
952,1701.13.01,1701.13.01
953,1701.14.91,1701.14.05
954,1701.91.04,1701.91.04
955,1701.99.99,1701.99.99
956,1702.11.01,1702.11.01
957,1702.19.01,1702.19.01
958,1702.19.99,1702.19.99
959,1702.20.01,1702.20.01
960,1702.30.01,1702.30.01
961,1702.40.01,1702.40.01
962,1702.40.99,1702.40.99
963,1702.50.01,1702.50.01
964,1702.60.91,1702.60.03
965,1702.90.01,1702.90.01
966,1702.90.99,1702.90.99
967,1703.10.01,1703.10.01
968,1703.90.99,1703.90.99
969,1704.10.01,1704.10.01
970,1704.90.99,1704.90.99
971,1801.00.02,1801.00.02
972,1801.00.99,1801.00.99
973,1802.00.01,1802.00.01
974,1803.10.01,1803.10.01
975,1803.20.01,1803.20.01
976,1804.00.01,1804.00.01
977,1805.00.01,1805.00.01
978,1806.10.01,1806.10.01
979,1806.10.99,1806.10.99
980,1806.20.91,1806.20.01
981,1806.31.01,1806.31.01
982,1806.32.01,1806.32.01
983,1806.90.99,1806.90.99
984,1901.10.02,1901.10.02
985,1901.20.02,1901.20.02
986,1901.20.99,1901.20.99
987,1901.90.02,1901.90.02
988,1901.90.03,1901.90.03
989,1901.90.04,1901.90.04
990,1901.90.05,1901.90.05
991,1901.90.99,1901.90.99
992,1902.11.01,1902.11.01
993,1902.19.99,1902.19.99
994,1902.20.01,1902.20.01
995,1902.30.91,1902.30.99
996,1902.40.01,1902.40.01
997,1903.00.01,1903.00.01
998,1904.10.01,1904.10.01
999,1904.20.01,1904.20.01
1000,1904.30.01,1904.30.01
1001,1904.90.99,1904.90.99
1002,1905.10.01,1905.10.01
1003,1905.20.01,1905.20.01
1004,1905.31.01,1905.31.01
1005,1905.32.01,1905.32.01
1006,1905.40.01,1905.40.01
1007,1905.90.99,1905.90.99
1008,2001.10.01,2001.10.01
1009,2001.90.99,2001.90.99
1010,2002.10.01,2002.10.01
1011,2002.90.99,2002.90.99
1012,2003.10.01,2003.10.01
1013,2003.90.99,2003.90.99
1014,2004.10.01,2004.10.01
1015,2004.90.91,2004.90.03
1016,2005.10.01,2005.10.01
1017,2005.20.01,2005.20.01
1018,2005.40.01,2005.40.01
1019,2005.51.01,2005.51.01
1020,2005.59.99,2005.59.99
1021,2005.60.01,2005.60.01
1022,2005.70.01,2005.70.01
1023,2005.80.01,2005.80.01
1024,2005.91.01,2005.91.01
1025,2005.99.99,2005.99.99
1026,2006.00.01,2006.00.01
1027,2006.00.02,2006.00.02
1028,2006.00.91,2006.00.03
1029,2006.00.99,2006.00.99
1030,2007.10.01,2007.10.01
1031,2007.91.01,2007.91.01
1032,2007.99.01,2007.99.01
1033,2007.99.02,2007.99.02
1034,2007.99.03,2007.99.03
1035,2007.99.99,2007.99.99
1036,2008.11.02,2008.11.02
1037,2008.19.91,2008.19.02
1038,2008.20.01,2008.20.01
1039,2008.30.09,2008.30.09
1040,2008.40.01,2008.40.01
1041,2008.50.01,2008.50.01
1042,2008.60.01,2008.60.01
1043,2008.70.01,2008.70.01
1044,2008.80.01,2008.80.01
1045,2008.91.01,2008.91.01
1046,2008.93.01,2008.93.01
1047,2008.97.01,2008.97.01
1048,2008.99.99,2008.99.99
1049,2009.11.01,2009.11.01
1050,2009.12.02,2009.12.02
1051,2009.19.99,2009.19.99
1052,2009.21.01,2009.21.01
1053,2009.29.99,2009.29.99
1054,2009.31.02,2009.31.02
1055,2009.39.99,2009.39.99
1056,2009.41.02,2009.41.02
1057,2009.49.99,2009.49.99
1058,2009.50.01,2009.50.01
1059,2009.61.01,2009.61.01
1060,2009.69.99,2009.69.99
1061,2009.71.01,2009.71.01
1062,2009.79.99,2009.79.99
1063,2009.81.01,2009.81.01
1064,2009.89.99,2009.89.99
1065,2009.90.02,2009.90.02
1066,2101.11.02,2101.11.02
1067,2101.11.99,2101.11.99
1068,2101.12.01,2101.12.01
1069,2101.20.01,2101.20.01
1070,2101.30.01,2101.30.01
1071,2102.10.02,2102.10.02
1072,2102.10.99,2102.10.99
1073,2102.20.01,2102.20.01
1074,2102.20.99,2102.20.99
1075,2102.30.01,2102.30.01
1076,2103.10.01,2103.10.01
1077,2103.20.02,2103.20.02
1078,2103.30.02,2103.30.02
1079,2103.90.99,2103.90.99
1080,2104.10.01,2104.10.01
1081,2104.20.01,2104.20.01
1082,2105.00.01,2105.00.01
1083,2106.10.01,2106.10.01
1084,2106.10.99,2106.10.99
1085,2106.90.01,2106.90.01
1086,2106.90.03,2106.90.03
1087,2106.90.04,2106.90.04
1088,2106.90.05,2106.90.05
1089,2106.90.07,2106.90.07
1090,2106.90.08,2106.90.08
1091,2106.90.09,2106.90.09
1092,2106.90.10,2106.90.10
1093,2106.90.12,2106.90.12
1094,2106.90.91,2106.90.11
1095,2106.90.92,2106.90.13
1096,2106.90.99,2106.90.99
1097,2201.10.02,2201.10.02
1098,2201.90.01,2201.90.01
1099,2201.90.02,2201.90.02
1100,2201.90.99,2201.90.99
1101,2202.10.01,2202.10.01
1102,2202.91.01,2202.91.01
1103,2202.99.01,2202.99.01
1104,2202.99.02,2202.99.02
1105,2202.99.03,2202.99.03
1106,2202.99.04,2202.99.04
1107,2202.99.99,2202.99.99
1108,2203.00.01,2203.00.01
1109,2204.10.02,2204.10.02
1110,2204.21.04,2204.21.04
1111,2204.22.01,2204.22.01
1112,2204.29.99,2204.29.99
1113,2204.30.91,2204.30.99
1114,2205.10.02,2205.10.02
1115,2205.90.99,2205.90.99
1116,2206.00.91,2206.00.02
1117,2207.10.01,2207.10.01
1118,2207.20.01,2207.20.01
1119,2208.20.01,2208.20.01
1120,2208.20.02,2208.20.02
1121,2208.20.03,2208.20.03
1122,2208.20.99,2208.20.99
1123,2208.30.05,2208.30.05
1124,2208.40.02,2208.40.02
1125,2208.50.01,2208.50.01
1126,2208.60.01,2208.60.01
1127,2208.70.03,2208.70.03
1128,2208.90.01,2208.90.01
1129,2208.90.02,2208.90.02
1130,2208.90.03,2208.90.03
1131,2208.90.04,2208.90.04
1132,2208.90.05,2208.90.05
1133,2208.90.06,2208.90.06
1134,2208.90.07,2208.90.07
1135,2208.90.99,2208.90.99
1136,2209.00.01,2209.00.01
1137,2301.10.02,2301.10.02
1138,2301.20.01,2301.20.01
1139,2302.10.01,2302.10.01
1140,2302.30.01,2302.30.01
1141,2302.40.91,2302.40.02
1142,2302.50.01,2302.50.01
1143,2303.10.01,2303.10.01
1144,2303.20.01,2303.20.01
1145,2303.30.01,2303.30.01
1146,2303.30.99,2303.30.99
1147,2304.00.01,2304.00.01
1148,2305.00.01,2305.00.01
1149,2306.10.01,2306.10.01
1150,2306.20.01,2306.20.01
1151,2306.30.01,2306.30.01
1152,2306.41.01,2306.41.01
1153,2306.49.99,2306.49.99
1154,2306.50.01,2306.50.01
1155,2306.60.01,2306.60.01
1156,2306.90.99,2306.90.99
1157,2307.00.01,2307.00.01
1158,2308.00.02,2308.00.02
1159,2309.10.01,2309.10.01
1160,2309.90.04,2309.90.04
1161,2309.90.99,2309.90.99
1162,2401.10.02,2401.10.02
1163,2401.20.03,2401.20.03
1164,2401.30.01,2401.30.01
1165,2402.10.01,2402.10.01
1166,2402.20.01,2402.20.01
1167,2402.90.99,2402.90.99
1168,2403.11.01,2403.11.01
1169,2403.19.99,2403.19.99
1170,2403.91.02,2403.91.02
1171,2403.99.01,2403.99.01
1172,2403.99.99,2403.99.99
1173,2404.11.01,2403.91.02
1174,2404.11.01,2403.99.99
1175,2404.12.01,3824.99.83
1176,2404.19.01,3824.99.83
1177,2404.19.99,2403.99.99
1178,2404.91.01,2106.90.99
1179,2404.92.01,3824.99.99
1180,2404.99.99,3824.99.99
1181,2501.00.02,2501.00.02
1182,2502.00.01,2502.00.01
1183,2503.00.02,2503.00.02
1184,2504.10.01,2504.10.01
1185,2504.90.99,2504.90.99
1186,2505.10.01,2505.10.01
1187,2505.90.99,2505.90.99
1188,2506.10.01,2506.10.01
1189,2506.20.02,2506.20.02
1190,2507.00.01,2507.00.01
1191,2508.10.01,2508.10.01
1192,2508.30.01,2508.30.01
1193,2508.40.91,2508.40.02
1194,2508.50.01,2508.50.01
1195,2508.60.01,2508.60.01
1196,2508.70.01,2508.70.01
1197,2509.00.01,2509.00.01
1198,2510.10.02,2510.10.02
1199,2510.20.02,2510.20.02
1200,2511.10.01,2511.10.01
1201,2511.20.01,2511.20.01
1202,2512.00.01,2512.00.01
1203,2513.10.02,2513.10.02
1204,2513.20.01,2513.20.01
1205,2514.00.01,2514.00.01
1206,2515.11.01,2515.11.01
1207,2515.12.01,2515.12.01
1208,2515.12.99,2515.12.99
1209,2515.20.01,2515.20.01
1210,2516.11.01,2516.11.01
1211,2516.12.01,2516.12.01
1212,2516.20.01,2516.20.01
1213,2516.90.91,2516.90.99
1214,2517.10.01,2517.10.01
1215,2517.20.01,2517.20.01
1216,2517.30.01,2517.30.01
1217,2517.41.01,2517.41.01
1218,2517.49.99,2517.49.99
1219,2518.10.01,2518.10.01
1220,2518.20.01,2518.20.01
1221,2519.10.01,2519.10.01
1222,2519.90.01,2519.90.01
1223,2519.90.02,2519.90.02
1224,2519.90.03,2519.90.03
1225,2519.90.99,2519.90.99
1226,2520.10.01,2520.10.01
1227,2520.20.01,2520.20.01
1228,2521.00.01,2521.00.01
1229,2522.10.01,2522.10.01
1230,2522.20.01,2522.20.01
1231,2522.30.01,2522.30.01
1232,2523.10.01,2523.10.01
1233,2523.21.01,2523.21.01
1234,2523.29.99,2523.29.99
1235,2523.30.01,2523.30.01
1236,2523.90.91,2523.90.99
1237,2524.10.03,2524.10.03
1238,2524.90.99,2524.90.99
1239,2525.10.01,2525.10.01
1240,2525.20.01,2525.20.01
1241,2525.30.01,2525.30.01
1242,2526.10.01,2526.10.01
1243,2526.20.01,2526.20.01
1244,2528.00.01,2528.00.01
1245,2528.00.99,2528.00.99
1246,2529.10.01,2529.10.01
1247,2529.21.01,2529.21.01
1248,2529.22.01,2529.22.01
1249,2529.30.01,2529.30.01
1250,2530.10.01,2530.10.01
1251,2530.20.01,2530.20.01
1252,2530.90.99,2530.90.99
1253,2601.11.01,2601.11.01
1254,2601.12.01,2601.12.01
1255,2601.20.01,2601.20.01
1256,2602.00.02,2602.00.02
1257,2603.00.01,2603.00.01
1258,2604.00.01,2604.00.01
1259,2605.00.01,2605.00.01
1260,2606.00.02,2606.00.02
1261,2607.00.01,2607.00.01
1262,2608.00.01,2608.00.01
1263,2609.00.01,2609.00.01
1264,2610.00.02,2610.00.02
1265,2611.00.01,2611.00.01
1266,2612.10.01,2612.10.01
1267,2612.20.01,2612.20.01
1268,2613.10.01,2613.10.01
1269,2613.90.99,2613.90.99
1270,2614.00.03,2614.00.03
1271,2615.10.02,2615.10.02
1272,2615.90.99,2615.90.99
1273,2616.10.01,2616.10.01
1274,2616.90.99,2616.90.99
1275,2617.10.01,2617.10.01
1276,2617.90.99,2617.90.99
1277,2618.00.01,2618.00.01
1278,2619.00.02,2619.00.02
1279,2620.11.01,2620.11.01
1280,2620.19.99,2620.19.99
1281,2620.21.01,2620.21.01
1282,2620.29.99,2620.29.99
1283,2620.30.01,2620.30.01
1284,2620.40.02,2620.40.02
1285,2620.60.01,2620.60.01
1286,2620.91.02,2620.91.02
1287,2620.99.99,2620.99.99
1288,2621.10.01,2621.10.01
1289,2621.90.99,2621.90.99
1290,2701.11.01,2701.11.01
1291,2701.12.01,2701.12.01
1292,2701.19.91,2701.19.99
1293,2701.20.01,2701.20.01
1294,2702.10.01,2702.10.01
1295,2702.20.01,2702.20.01
1296,2703.00.02,2703.00.02
1297,2704.00.03,2704.00.03
1298,2705.00.01,2705.00.01
1299,2706.00.01,2706.00.01
1300,2707.10.01,2707.10.01
1301,2707.20.01,2707.20.01
1302,2707.30.01,2707.30.01
1303,2707.40.01,2707.40.01
1304,2707.50.91,2707.50.01
1305,2707.91.01,2707.91.01
1306,2707.99.99,2707.99.99
1307,2708.10.01,2708.10.01
1308,2708.20.01,2708.20.01
1309,2709.00.05,2709.00.05
1310,2709.00.99,2709.00.99
1311,2710.12.06,2710.12.06
1312,2710.12.99,2710.12.99
1313,2710.19.02,2710.19.02
1314,2710.19.99,2710.19.99
1315,2710.20.01,2710.20.01
1316,2710.91.01,2710.91.01
1317,2710.99.99,2710.99.99
1318,2711.11.01,2711.11.01
1319,2711.12.01,2711.12.01
1320,2711.13.01,2711.13.01
1321,2711.14.01,2711.14.01
1322,2711.19.01,2711.19.01
1323,2711.19.99,2711.19.99
1324,2711.21.01,2711.21.01
1325,2711.29.99,2711.29.99
1326,2712.10.01,2712.10.01
1327,2712.20.01,2712.20.01
1328,2712.90.01,2712.90.01
1329,2712.90.02,2712.90.02
1330,2712.90.03,2712.90.03
1331,2712.90.99,2712.90.99
1332,2713.11.01,2713.11.01
1333,2713.12.01,2713.12.01
1334,2713.20.01,2713.20.01
1335,2713.90.91,2713.90.99
1336,2714.10.01,2714.10.01
1337,2714.90.01,2714.90.01
1338,2714.90.99,2714.90.99
1339,2715.00.01,2715.00.01
1340,2715.00.99,2715.00.99
1341,2716.00.01,2716.00.01
1342,2801.10.01,2801.10.01
1343,2801.20.01,2801.20.01
1344,2801.30.01,2801.30.01
1345,2802.00.01,2802.00.01
1346,2803.00.02,2803.00.02
1347,2803.00.99,2803.00.99
1348,2804.10.01,2804.10.01
1349,2804.21.01,2804.21.01
1350,2804.29.99,2804.29.99
1351,2804.30.01,2804.30.01
1352,2804.40.01,2804.40.01
1353,2804.50.01,2804.50.01
1354,2804.61.01,2804.61.01
1355,2804.69.99,2804.69.99
1356,2804.70.04,2804.70.04
1357,2804.80.01,2804.80.01
1358,2804.90.01,2804.90.01
1359,2805.11.01,2805.11.01
1360,2805.12.01,2805.12.01
1361,2805.19.99,2805.19.99
1362,2805.30.01,2805.30.01
1363,2805.40.01,2805.40.01
1364,2806.10.01,2806.10.01
1365,2806.20.01,2806.20.01
1366,2807.00.01,2807.00.01
1367,2808.00.01,2808.00.01
1368,2809.10.01,2809.10.01
1369,2809.20.01,2809.20.01
1370,2809.20.99,2809.20.99
1371,2810.00.02,2810.00.02
1372,2811.11.01,2811.11.01
1373,2811.11.99,2811.11.99
1374,2811.12.01,2811.12.01
1375,2811.19.99,2811.19.99
1376,2811.21.03,2811.21.03
1377,2811.22.03,2811.22.03
1378,2811.29.99,2811.29.99
1379,2812.11.01,2812.11.01
1380,2812.12.01,2812.12.01
1381,2812.13.01,2812.13.01
1382,2812.14.01,2812.14.01
1383,2812.15.01,2812.15.01
1384,2812.16.01,2812.16.01
1385,2812.17.01,2812.17.01
1386,2812.19.99,2812.19.99
1387,2812.90.99,2812.90.99
1388,2813.10.01,2813.10.01
1389,2813.90.99,2813.90.99
1390,2814.10.01,2814.10.01
1391,2814.20.01,2814.20.01
1392,2815.11.01,2815.11.01
1393,2815.12.01,2815.12.01
1394,2815.20.03,2815.20.03
1395,2815.30.01,2815.30.01
1396,2816.10.01,2816.10.01
1397,2816.40.03,2816.40.03
1398,2817.00.01,2817.00.01
1399,2817.00.02,2817.00.02
1400,2818.10.03,2818.10.03
1401,2818.20.02,2818.20.02
1402,2818.30.03,2818.30.03
1403,2819.10.01,2819.10.01
1404,2819.90.99,2819.90.99
1405,2820.10.02,2820.10.02
1406,2820.90.99,2820.90.99
1407,2821.10.04,2821.10.04
1408,2821.20.01,2821.20.01
1409,2822.00.01,2822.00.01
1410,2823.00.01,2823.00.01
1411,2824.10.01,2824.10.01
1412,2824.90.99,2824.90.99
1413,2825.10.02,2825.10.02
1414,2825.20.01,2825.20.01
1415,2825.30.01,2825.30.01
1416,2825.40.02,2825.40.02
1417,2825.50.03,2825.50.03
1418,2825.60.01,2825.60.01
1419,2825.70.01,2825.70.01
1420,2825.80.01,2825.80.01
1421,2825.90.99,2825.90.99
1422,2826.12.01,2826.12.01
1423,2826.19.99,2826.19.99
1424,2826.30.01,2826.30.01
1425,2826.90.99,2826.90.99
1426,2827.10.01,2827.10.01
1427,2827.20.01,2827.20.01
1428,2827.31.01,2827.31.01
1429,2827.32.01,2827.32.01
1430,2827.35.01,2827.35.01
1431,2827.39.99,2827.39.99
1432,2827.41.02,2827.41.02
1433,2827.49.99,2827.49.99
1434,2827.51.01,2827.51.01
1435,2827.59.99,2827.59.99
1436,2827.60.01,2827.60.01
1437,2828.10.01,2828.10.01
1438,2828.90.99,2828.90.99
1439,2829.11.03,2829.11.03
1440,2829.19.99,2829.19.99
1441,2829.90.01,2829.90.01
1442,2829.90.99,2829.90.99
1443,2830.10.01,2830.10.01
1444,2830.90.99,2830.90.99
1445,2831.10.01,2831.10.01
1446,2831.90.99,2831.90.99
1447,2832.10.02,2832.10.02
1448,2832.20.91,2832.20.99
1449,2832.30.01,2832.30.01
1450,2833.11.01,2833.11.01
1451,2833.19.99,2833.19.99
1452,2833.21.01,2833.21.01
1453,2833.22.01,2833.22.01
1454,2833.24.01,2833.24.01
1455,2833.25.01,2833.25.01
1456,2833.25.02,2833.25.02
1457,2833.27.01,2833.27.01
1458,2833.29.03,2833.29.03
1459,2833.29.05,2833.29.05
1460,2833.29.99,2833.29.99
1461,2833.30.01,2833.30.01
1462,2833.40.03,2833.40.03
1463,2834.10.02,2834.10.02
1464,2834.21.01,2834.21.01
1465,2834.29.01,2834.29.01
1466,2834.29.99,2834.29.99
1467,2835.10.01,2835.10.01
1468,2835.22.01,2835.22.01
1469,2835.24.01,2835.24.01
1470,2835.25.02,2835.25.02
1471,2835.26.91,2835.26.99
1472,2835.29.99,2835.29.99
1473,2835.31.01,2835.31.01
1474,2835.39.01,2835.39.01
1475,2835.39.02,2835.39.02
1476,2835.39.99,2835.39.99
1477,2836.20.01,2836.20.01
1478,2836.30.01,2836.30.01
1479,2836.40.03,2836.40.03
1480,2836.50.01,2836.50.01
1481,2836.60.01,2836.60.01
1482,2836.91.01,2836.91.01
1483,2836.92.01,2836.92.01
1484,2836.99.99,2836.99.99
1485,2837.11.02,2837.11.02
1486,2837.19.99,2837.19.99
1487,2837.20.02,2837.20.02
1488,2839.11.01,2839.11.01
1489,2839.19.99,2839.19.99
1490,2839.90.04,2839.90.04
1491,2840.11.01,2840.11.01
1492,2840.19.99,2840.19.99
1493,2840.20.91,2840.20.99
1494,2840.30.01,2840.30.01
1495,2841.30.01,2841.30.01
1496,2841.50.91,2841.50.03
1497,2841.61.01,2841.61.01
1498,2841.69.99,2841.69.99
1499,2841.70.01,2841.70.01
1500,2841.80.01,2841.80.01
1501,2841.90.99,2841.90.99
1502,2842.10.02,2842.10.02
1503,2842.90.99,2842.90.99
1504,2843.10.01,2843.10.01
1505,2843.21.01,2843.21.01
1506,2843.29.99,2843.29.99
1507,2843.30.01,2843.30.01
1508,2843.90.91,2843.90.99
1509,2844.10.01,2844.10.01
1510,2844.20.01,2844.20.01
1511,2844.30.01,2844.30.01
1512,2844.41.01,2844.40.03
1513,2844.42.01,2844.40.03
1514,2844.43.91,2844.40.03
1515,2844.44.01,2844.40.03
1516,2844.50.01,2844.50.01
1517,2845.10.01,2845.10.01
1518,2845.20.01,2845.90.99
1519,2845.30.01,2845.90.99
1520,2845.40.01,2845.90.99
1521,2845.90.99,2845.90.99
1522,2846.10.01,2846.10.01
1523,2846.90.99,2846.90.99
1524,2847.00.01,2847.00.01
1525,2849.10.01,2849.10.01
1526,2849.20.99,2849.20.99
1527,2849.90.99,2849.90.99
1528,2850.00.03,2850.00.03
1529,2852.10.04,2852.10.04
1530,2852.90.99,2852.90.99
1531,2853.10.01,2853.10.01
1532,2853.90.99,2853.90.99
1533,2901.10.05,2901.10.05
1534,2901.21.01,2901.21.01
1535,2901.22.01,2901.22.01
1536,2901.23.01,2901.23.01
1537,2901.24.01,2901.24.01
1538,2901.29.99,2901.29.99
1539,2902.11.01,2902.11.01
1540,2902.19.99,2902.19.99
1541,2902.20.01,2902.20.01
1542,2902.30.01,2902.30.01
1543,2902.41.01,2902.41.01
1544,2902.42.01,2902.42.01
1545,2902.43.01,2902.43.01
1546,2902.44.01,2902.44.01
1547,2902.50.01,2902.50.01
1548,2902.60.01,2902.60.01
1549,2902.70.01,2902.70.01
1550,2902.90.99,2902.90.99
1551,2903.11.01,2903.11.01
1552,2903.12.01,2903.12.01
1553,2903.13.02,2903.13.02
1554,2903.14.01,2903.14.01
1555,2903.15.01,2903.15.01
1556,2903.19.99,2903.19.99
1557,2903.21.01,2903.21.01
1558,2903.22.01,2903.22.01
1559,2903.23.01,2903.23.01
1560,2903.29.99,2903.29.99
1561,2903.41.01,2903.39.99
1562,2903.42.01,2903.39.99
1563,2903.43.01,2903.39.99
1564,2903.44.01,2903.39.99
1565,2903.45.01,2903.39.99
1566,2903.46.01,2903.39.99
1567,2903.47.01,2903.39.99
1568,2903.48.01,2903.39.99
1569,2903.49.99,2903.39.99
1570,2903.51.01,2903.39.99
1571,2903.59.99,2903.39.99
1572,2903.61.01,2903.39.99
1573,2903.62.01,2903.31.01
1574,2903.69.99,2903.39.99
1575,2903.71.01,2903.71.01
1576,2903.72.01,2903.72.01
1577,2903.73.01,2903.73.01
1578,2903.74.01,2903.74.01
1579,2903.75.01,2903.75.01
1580,2903.76.01,2903.76.01
1581,2903.77.91,2903.77.05
1582,2903.78.91,2903.78.01
1583,2903.79.99,2903.79.99
1584,2903.81.04,2903.81.04
1585,2903.82.02,2903.82.02
1586,2903.82.04,2903.82.04
1587,2903.82.99,2903.82.99
1588,2903.83.01,2903.83.01
1589,2903.89.03,2903.89.03
1590,2903.89.99,2903.89.99
1591,2903.91.01,2903.91.01
1592,2903.92.01,2903.92.01
1593,2903.92.04,2903.92.04
1594,2903.93.01,2903.93.01
1595,2903.94.01,2903.94.01
1596,2903.99.01,2903.99.01
1597,2903.99.99,2903.99.99
1598,2904.10.01,2904.10.01
1599,2904.10.02,2904.10.02
1600,2904.10.03,2904.10.03
1601,2904.10.04,2904.10.04
1602,2904.10.05,2904.10.05
1603,2904.10.99,2904.10.99
1604,2904.20.08,2904.20.08
1605,2904.20.99,2904.20.99
1606,2904.31.01,2904.31.01
1607,2904.32.01,2904.32.01
1608,2904.33.01,2904.33.01
1609,2904.34.01,2904.34.01
1610,2904.35.91,2904.35.01
1611,2904.36.01,2904.36.01
1612,2904.91.01,2904.91.01
1613,2904.99.99,2904.99.99
1614,2905.11.01,2905.11.01
1615,2905.12.02,2905.12.02
1616,2905.13.01,2905.13.01
1617,2905.14.91,2905.14.04
1618,2905.16.03,2905.16.03
1619,2905.17.01,2905.17.01
1620,2905.19.06,2905.19.06
1621,2905.19.99,2905.19.99
1622,2905.22.06,2905.22.06
1623,2905.29.99,2905.29.99
1624,2905.31.01,2905.31.01
1625,2905.32.01,2905.32.01
1626,2905.39.01,2905.39.01
1627,2905.39.02,2905.39.02
1628,2905.39.99,2905.39.99
1629,2905.41.01,2905.41.01
1630,2905.42.01,2905.42.01
1631,2905.43.01,2905.43.01
1632,2905.44.01,2905.44.01
1633,2905.45.01,2905.45.01
1634,2905.45.99,2905.45.99
1635,2905.49.99,2905.49.99
1636,2905.51.01,2905.51.01
1637,2905.59.99,2905.59.99
1638,2906.11.01,2906.11.01
1639,2906.12.02,2906.12.02
1640,2906.13.99,2906.13.99
1641,2906.19.99,2906.19.99
1642,2906.21.01,2906.21.01
1643,2906.29.05,2906.29.05
1644,2906.29.99,2906.29.99
1645,2907.11.02,2907.11.02
1646,2907.12.02,2907.12.02
1647,2907.13.03,2907.13.03
1648,2907.15.03,2907.15.03
1649,2907.19.99,2907.19.99
1650,2907.21.01,2907.21.01
1651,2907.22.01,2907.22.01
1652,2907.22.02,2907.22.02
1653,2907.23.03,2907.23.03
1654,2907.29.99,2907.29.99
1655,2908.11.01,2908.11.01
1656,2908.19.99,2908.19.99
1657,2908.91.01,2908.91.01
1658,2908.92.01,2908.92.01
1659,2908.99.01,2908.99.01
1660,2908.99.99,2908.99.99
1661,2909.11.01,2909.11.01
1662,2909.19.99,2909.19.99
1663,2909.20.01,2909.20.01
1664,2909.30.10,2909.30.10
1665,2909.41.01,2909.41.01
1666,2909.43.01,2909.43.01
1667,2909.44.01,2909.44.01
1668,2909.44.03,2909.44.03
1669,2909.44.99,2909.44.99
1670,2909.49.01,2909.49.01
