,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
637,0901.22.99,0901.22.99
638,0901.90.99,0901.90.99
639,0902.10.01,0902.10.01
640,0902.20.01,0902.20.01
641,0902.30.01,0902.30.01
642,0902.40.01,0902.40.01
643,0903.00.01,0903.00.01
644,0904.11.01,0904.11.01
645,0904.12.01,0904.12.01
646,0904.21.02,0904.21.02
647,0904.22.02,0904.22.02
648,0905.10.02,0905.10.02
649,0905.10.99,0905.10.99
650,0905.20.02,0905.20.02
651,0905.20.99,0905.20.99
652,0906.11.01,0906.11.01
653,0906.19.99,0906.19.99
654,0906.20.01,0906.20.01
655,0907.10.01,0907.10.01
656,0907.20.01,0907.20.01
657,0908.11.01,0908.11.01
658,0908.12.01,0908.12.01
659,0908.21.01,0908.21.01
660,0908.22.01,0908.22.01
661,0908.31.01,0908.31.01
662,0908.32.01,0908.32.01
663,0909.21.01,0909.21.01
664,0909.22.01,0909.22.01
665,0909.31.01,0909.31.01
666,0909.32.01,0909.32.01
667,0909.61.01,0909.61.01
668,0909.61.02,0909.61.02
669,0909.61.99,0909.61.99
670,0909.62.01,0909.62.01
671,0909.62.02,0909.62.02
672,0909.62.99,0909.62.99
673,0910.11.01,0910.11.01
674,0910.12.01,0910.12.01
675,0910.20.01,0910.20.01
676,0910.30.01,0910.30.01
677,0910.91.01,0910.91.01
678,0910.99.99,0910.99.99
679,1001.11.01,1001.11.01
680,1001.19.99,1001.19.99
681,1001.91.01,1001.91.01
682,1001.91.99,1001.91.99
683,1001.99.01,1001.99.01
684,1001.99.99,1001.99.99
685,1002.10.01,1002.10.01
686,1002.90.99,1002.90.99
687,1003.10.01,1003.10.01
688,1003.90.99,1003.90.99
689,1004.10.01,1004.10.01
690,1004.90.99,1004.90.99
691,1005.10.01,1005.10.01
692,1005.90.04,1005.90.04
693,1005.90.99,1005.90.99
694,1006.10.02,1006.10.02
695,1006.10.99,1006.10.99
696,1006.20.02,1006.20.02
697,1006.20.99,1006.20.99
698,1006.30.03,1006.30.03
699,1006.30.99,1006.30.99
700,1006.40.02,1006.40.02
701,1006.40.99,1006.40.99
702,1007.10.01,1007.10.01
703,1007.90.01,1007.90.01
704,1007.90.02,1007.90.02
705,1008.10.01,1008.10.01
706,1008.21.01,1008.21.01
707,1008.29.99,1008.29.99
708,1008.30.01,1008.30.01
709,1008.40.01,1008.40.01
710,1008.50.01,1008.50.01
711,1008.60.01,1008.60.01
712,1008.90.91,1008.90.99
713,1101.00.01,1101.00.01
714,1102.20.01,1102.20.01
715,1102.90.99,1102.90.99
716,1103.11.01,1103.11.01
717,1103.13.01,1103.13.01
718,1103.19.91,1103.19.03
719,1103.20.02,1103.20.02
720,1104.12.01,1104.12.01
721,1104.19.91,1104.19.02
722,1104.22.01,1104.22.01
723,1104.23.01,1104.23.01
724,1104.29.91,1104.29.02
725,1104.30.01,1104.30.01
726,1105.10.01,1105.10.01
727,1105.20.01,1105.20.01
728,1106.10.01,1106.10.01
729,1106.20.02,1106.20.02
730,1106.30.02,1106.30.02
731,1107.10.01,1107.10.01
732,1107.20.01,1107.20.01
733,1108.11.01,1108.11.01
734,1108.12.01,1108.12.01
735,1108.13.01,1108.13.01
736,1108.14.01,1108.14.01
737,1108.19.91,1108.19.02
738,1108.20.01,1108.20.01
739,1109.00.01,1109.00.01
740,1201.10.01,1201.10.01
741,1201.90.01,1201.90.01
742,1201.90.02,1201.90.02
743,1202.30.01,1202.30.01
744,1202.41.01,1202.41.01
745,1202.42.01,1202.42.01
746,1203.00.01,1203.00.01
747,1204.00.01,1204.00.01
748,1205.10.01,1205.10.01
749,1205.90.99,1205.90.99
750,1206.00.02,1206.00.02
751,1207.10.01,1207.10.01
752,1207.21.01,1207.21.01
753,1207.29.99,1207.29.99
754,1207.30.01,1207.30.01
755,1207.40.01,1207.40.01
756,1207.50.01,1207.50.01
757,1207.60.03,1207.60.03
758,1207.60.99,1207.60.99
759,1207.70.01,1207.70.01
760,1207.91.01,1207.91.01
761,1207.99.99,1207.99.99
762,1208.10.01,1208.10.01
763,1208.90.03,1208.90.03
764,1208.90.99,1208.90.99
765,1209.10.01,1209.10.01
766,1209.21.01,1209.21.01
767,1209.22.01,1209.22.01
768,1209.23.01,1209.23.01
769,1209.24.01,1209.24.01
770,1209.25.01,1209.25.01
771,1209.29.04,1209.29.04
772,1209.29.99,1209.29.99
773,1209.30.01,1209.30.01
774,1209.91.15,1209.91.15
775,1209.99.07,1209.99.07
776,1209.99.99,1209.99.99
777,1210.10.01,1210.10.01
